Timestamp,Total,Owner,Claimed,Unclaimed,Matched,Preempting,Backfill,Drain
1726999857,128,0,128,0,0,0,0,0
1726999858,128,0,128,0,0,0,0,0
1726999859,128,0,127,0,0,1,0,0
1726999861,128,0,124,0,0,4,0,0
1726999862,128,0,109,0,0,19,0,0
1726999863,128,0,106,0,0,22,0,0
1726999864,128,0,106,0,0,22,0,0
1726999865,128,0,106,0,0,22,0,0
1726999867,128,0,106,0,0,22,0,0
1726999868,128,0,106,0,0,22,0,0
1726999869,128,0,106,2,0,20,0,0
1726999870,128,0,106,18,0,4,0,0
1726999872,128,0,106,20,0,2,0,0
1726999873,128,0,106,20,0,2,0,0
1726999874,128,0,106,22,0,0,0,0
1726999875,128,0,106,22,0,0,0,0
1726999876,128,0,106,22,0,0,0,0
1726999878,128,0,106,22,0,0,0,0
1726999879,128,0,106,22,0,0,0,0
1726999880,128,0,106,22,0,0,0,0
1726999881,128,0,109,19,0,0,0,0
1726999882,128,0,128,0,0,0,0,0
1726999883,128,0,128,0,0,0,0,0
1726999885,128,0,128,0,0,0,0,0
1726999886,128,0,128,0,0,0,0,0
1726999887,128,0,128,0,0,0,0,0
1726999888,128,0,128,0,0,0,0,0
1726999890,128,0,128,0,0,0,0,0
1726999891,128,0,128,0,0,0,0,0
1726999892,128,0,128,0,0,0,0,0
1726999893,128,0,128,0,0,0,0,0
1726999895,128,0,128,0,0,0,0,0
1726999896,128,0,128,0,0,0,0,0
1726999897,128,0,128,0,0,0,0,0
1726999898,128,0,128,0,0,0,0,0
1726999900,128,0,128,0,0,0,0,0
1726999901,128,0,128,0,0,0,0,0
1726999902,128,0,128,0,0,0,0,0
1726999903,128,0,128,0,0,0,0,0
1726999905,128,0,128,0,0,0,0,0
1726999906,128,0,128,0,0,0,0,0
1726999907,128,0,128,0,0,0,0,0
1726999908,128,0,128,0,0,0,0,0
1726999909,128,0,128,0,0,0,0,0
1726999910,128,0,127,0,0,1,0,0
1726999912,128,0,127,0,0,1,0,0
1726999913,128,0,127,0,0,1,0,0
1726999914,128,0,127,0,0,1,0,0
1726999916,128,0,126,0,0,2,0,0
1726999917,128,0,126,0,0,2,0,0
1726999919,128,0,126,1,0,1,0,0
1726999920,128,0,125,2,0,1,0,0
1726999921,128,0,125,2,0,1,0,0
1726999922,128,0,125,2,0,1,0,0
1726999924,128,0,125,2,0,1,0,0
1726999925,128,0,125,2,0,1,0,0
1726999926,128,0,125,2,0,1,0,0
1726999928,128,0,125,2,0,1,0,0
1726999929,128,0,125,2,0,1,0,0
1726999930,128,0,125,2,0,1,0,0
1726999931,128,0,125,2,0,1,0,0
1726999933,128,0,125,3,0,0,0,0
1726999934,128,0,125,3,0,0,0,0
1726999935,128,0,125,3,0,0,0,0
1726999937,128,0,125,3,0,0,0,0
1726999938,128,0,125,3,0,0,0,0
1726999939,128,0,125,3,0,0,0,0
1726999940,128,0,125,3,0,0,0,0
1726999942,128,0,125,3,0,0,0,0
1726999943,128,0,124,3,0,1,0,0
1726999944,128,0,124,3,0,1,0,0
1726999945,128,0,126,0,0,2,0,0
1726999946,128,0,126,0,0,2,0,0
1726999947,128,0,126,0,0,2,0,0
1726999949,128,0,126,1,0,1,0,0
1726999950,128,0,126,1,0,1,0,0
1726999951,128,0,126,1,0,1,0,0
1726999953,128,0,126,2,0,0,0,0
1726999954,128,0,126,2,0,0,0,0
1726999955,128,0,126,2,0,0,0,0
1726999957,128,0,126,2,0,0,0,0
1726999958,128,0,125,2,0,1,0,0
1726999960,128,0,125,2,0,1,0,0
1726999961,128,0,125,2,0,1,0,0
1726999963,128,0,125,2,0,1,0,0
1726999964,128,0,125,3,0,0,0,0
1726999966,128,0,125,3,0,0,0,0
1726999967,128,0,125,3,0,0,0,0
1726999968,128,0,125,3,0,0,0,0
1726999970,128,0,125,3,0,0,0,0
1726999971,128,0,125,3,0,0,0,0
