timestamp,timestamp,T1,T2
1727244023,,8.824812,28.87429
1727244024,,8.388757,28.83094
1727244025,,8.649478,28.85202
1727244026,,9.007127,28.65949
1727244027,,8.897837,28.79053
1727244028,,8.729046,28.60894
1727244029,,8.677609,28.59996
1727244030,,8.696919,28.4527
1727244031,,8.908202,28.56833
1727244032,,8.389882,28.50918
1727244033,,8.381467,28.78971
1727244034,,8.407652,28.19135
1727244035,,8.490976,28.67612
1727244036,,8.754449,28.40336
1727244037,,8.343659,28.43904
1727244038,,8.842917,28.43826
1727244039,,8.912288,28.66097
1727244040,,9.031352,28.92392
1727244041,,8.610578,28.80834
1727244042,,8.61054,28.75583
1727244043,,8.714006,28.69419
1727244044,,8.980438,28.63035
1727244045,,9.075887,28.45581
1727244046,,8.881173,28.73573
1727244047,,9.028571,28.64409
1727244048,,8.491757,28.76063
1727244049,,8.539339,28.72289
1727244050,,8.787723,28.821
1727244051,,8.620652,28.87163
1727244052,,8.348275,28.51665
1727244053,,8.890914,28.92462
1727244054,,8.625443,28.53743
1727244055,,8.485634,28.89643
1727244056,,8.561226,28.8258
1727244057,,8.574457,28.88078
1727244058,,8.57068,29.03488
1727244059,,8.382891,28.74257
1727244060,,8.424554,28.84305
1727244061,,8.919368,29.05861
1727244062,,8.840318,28.95014
1727244063,,8.763486,28.90525
1727244064,,8.763486,28.9458
1727244065,,8.856859,28.88966
1727244066,,8.544831,28.86302
1727244067,,9.026633,28.92318
1727244068,,8.820622,29.14733
1727244069,,8.709231,28.99507
1727244070,,8.987971,28.94383
1727244071,,8.89397,29.11567
1727244072,,8.402907,28.78524
1727244073,,8.844006,28.94617
1727244074,,8.461691,28.86565
1727244075,,8.500874,28.84405
1727244076,,8.921253,28.99574
1727244077,,8.936707,29.83618
1727244078,,8.959652,29.72681
1727244079,,9.207766,29.81771
1727244080,,8.597016,29.71571
1727244081,,8.647962,29.63751
1727244082,,9.011588,29.43007
1727244083,,9.003835,29.18552
1727244084,,8.825961,28.91794
1727244085,,8.709244,28.94868
1727244086,,8.711538,28.80659
1727244087,,8.913123,28.89977
1727244088,,9.001296,28.54302
1727244089,,8.690454,28.42393
1727244090,,8.714986,28.4726
1727244091,,8.612506,28.56424
1727244092,,8.585075,28.5434
1727244093,,8.611994,28.47947
1727244094,,9.045937,28.27102
1727244095,,8.674483,28.40095
1727244096,,8.5133,28.5812
1727244097,,8.517461,28.42865
1727244098,,8.57255,28.67097
1727244099,,8.636366,28.41173
1727244100,,8.567345,28.80327
1727244101,,8.573056,28.72305
1727244102,,8.661056,28.46191
1727244103,,8.761804,28.66391
1727244104,,8.7379,28.74826
1727244105,,8.648439,28.69756
1727244106,,8.322466,28.8336
1727244107,,8.785433,28.94818
1727244108,,8.858618,28.84986
1727244109,,9.103958,29.20491
1727244110,,8.657522,28.99658
1727244111,,8.460005,29.09294
1727244112,,8.331141,28.75687
1727244113,,8.480066,28.75364
1727244114,,8.855315,28.88278
1727244115,,8.988634,28.9618
1727244116,,8.791589,28.97434
1727244117,,8.934051,28.91702
1727244118,,9.007635,28.87853
1727244119,,9.0361,28.87976
1727244120,,8.993377,28.97948
1727244121,,8.29136,28.71417
1727244122,,8.872205,28.97612
1727244123,,8.461062,28.81718
1727244124,,8.495828,28.93296
1727244125,,8.584773,28.92929
1727244126,,8.801482,29.15377
1727244127,,9.200617,29.14309
1727244128,,9.02595,29.11127
1727244129,,8.504368,28.98383
1727244130,,8.88882,29.13547
1727244131,,8.830364,28.97998
1727244132,,8.95643,28.70512
